country,country_clean,title,views_total,views_median,title_clean,lat,long,city/mountain/poi,extract
Argentina,Argentina,Starship_Troopers_(film),3730945,2553.6926762,Starship Troopers ,-32.947,-60.639,Rosario ,Starship Troopers is a 1997 American satirical military science fiction action film directed by Paul Verhoeven and written by Edward Neumeier. It originally came from an unrelated script called Bug Hunt...
Argentina,Argentina,Focus_(2015_film),3678219,2517.6036961,Focus (2015 film),-32.891,-68.827,Mendoza ,"Focus is a 2015 American romantic crime comedy-drama film written and directed by Glenn Ficarra and John Requa, starring Will Smith and Margot Robbie. The film was released on February 27, 2015 and received..."
Argentina,Argentina,Operation_Finale,1350482,924.3545517,Operation Finale,-26.824,-65.223,Tucumán ,"Operation Finale is a 2018 American historical drama film directed by Chris Weitz, from a screenplay by Matthew Orton. The film stars Oscar Isaac (who also produced), Ben Kingsley, Lior Raz, Mélanie Laurent..."
Argentina,Argentina,The_Secret_in_Their_Eyes,1057192,723.6084873,The Secret in Their Eyes,-34.921,-57.955,La Plata ,"The Secret in Their Eyes (Spanish: El secreto de sus ojos) is a 2009 crime drama film directed, co-written, produced and edited by Juan José Campanella, based on the novel La pregunta de sus ojos (The..."
Argentina,Argentina,Evita_(1996_film),1007239,689.4175222,Evita (1996 film),-38,-57.556,Mar del Plata ,"Evita is a 1996 American musical drama film based on the 1976 concept album of the same name produced by Tim Rice and Andrew Lloyd Webber, which also inspired a 1978 musical. The film depicts the life..."
Argentina,Argentina,The_Motorcycle_Diaries_(film),960912,657.7084189,The Motorcycle Diaries ,-24.786,-65.412,Salta ,"The Motorcycle Diaries (Spanish: Diarios de motocicleta) is a 2004 biopic about the journey and written memoir of the 23-year-old Ernesto Guevara, who would several years later become internationally known..."
Argentina,Argentina,Gilda,603151,412.8343600,Gilda,-31.649,-60.709,Santa Fe ,Gilda is a 1946 American film noir directed by Charles Vidor and starring Rita Hayworth in her signature role as the ultimate femme fatale and Glenn Ford as a young thug. The film is known for cinematographer...
Argentina,Argentina,Saludos_Amigos,563505,385.6981520,Saludos Amigos,-31.538,-68.536,San Juan ,"Saludos Amigos (Spanish for Greetings, Friends"") is a 1942 American live-action animated package film produced by Walt Disney and released by RKO Radio Pictures. It is the sixth Disney animated feature..."""
Armenia,Armenia,The_Promise_(2016_film),2067569,1415.1738535,The Promise (2016 film),40.181,44.514,Yerevan,"The Promise is a 2016 American historical drama film directed by Terry George and starring Oscar Isaac, Charlotte Le Bon and Christian Bale, set in the final years of the Ottoman Empire. The plot is about..."
Armenia,Armenia,Calendar_(1993_film),25570,17.5017112,Calendar (1993 film),40.794,43.845,Gyumri,Calendar (Armenian: Օրացույց) is a 1993 drama film directed by Atom Egoyan. Plot: A photographer (Atom Egoyan) is sent to Armenia to take pictures of churches for a calendar. He slowly begins to realise...
Armenia,Armenia,Guardians_(2017_film),24253,16.6002738,Guardians (2017 film),40.805,44.494,Vanadzor,"Guardians (Russian: Защитники, romanized: Zaschitniki or Zashchitniki) is a 2017 Russian superhero film directed by Russian-Armenian filmmaker Sarik Andreasyan and starring Sebastien Sisak, Anton Pampushnyy..."
Armenia,Armenia,Vodka_Lemon,16756,11.4688569,Vodka Lemon,40.166,44.295,Vagharshapat,"Vodka Lemon (Kurdish Sorani: ڤۆدکا لیمۆ) is a 2003 film directed by the Iraqi–Kurdish director Hiner Saleem. Plot: The movie is set in a Yazidi village in Armenia, still suffering economically from..."
Armenia,Armenia,Nahapet,11441,7.8309377,Nahapet,40.497,44.766,Hrazdan,Nahapet (Armenian: Նահապետ) is a 1977 Armenian drama film about a man who tries to rebuild his life after losing his wife and child in the Armenian genocide. It is based on a novel written by Hrachya Kochar...
Armenia,Armenia,If_Only_Everyone,9329,6.3853525,If Only Everyone,40.274,44.633,Abovyan,If Only Everyone (Armenian: Եթե բոլորը) is a 2012 Armenian drama film directed by Nataliya Belyauskene. The film was selected as the Armenian entry for the Best Foreign Language Oscar at the 85th Academy...
Armenia,Armenia,Zangezur_(film),7724,5.2867899,Zangezur ,39.208,46.406,Kapan,Zangezur is a 1938 Soviet Armenian film war film by Hamo Beknazarian. The film is about the Dashnak opposition to the incursion of the Red Army and the local Bolshevik partisans in the Armenian province...
Armenia,Armenia,Anahit_(film),7640,5.2292950,Anahit ,39.831,44.706,Ararat,"Anahit (Armenian: Անահիտ, Russian: Анаит, romanized: Anait) is a 1947 Soviet adventure film, directed by Hamo Beknazarian and starring Hrachia Nersisyan, Avet Avetisyan and O. Buniatyan. Cast: Hrachia..."
Armenia,Armenia,"Hello,_That's_Me!",7403,5.0670773,"Hello, That's Me!",40.154,44.038,Armavir,"Hello, It's Me! (Armenian: Բարև, ես եմ; translit. Barev, yes em) is a 1966 Armenian drama film directed by Frunze Dovlatyan. It was entered into the 1966 Cannes Film Festival, nominated to Palme d'Or and..."
Armenia,Armenia,Zare_(film),7187,4.9192334,Zare ,41.01,44.385,Step'anavan,"Zare (Armenian: Զարե) is a 1926 Soviet Armenian drama film, directed by Hamo Beknazarian. Plot: The royal administration using dimness and ignorance of the oppressed Kurds mercilessly exploit this..."
Aruba,Aruba,Natalee_Holloway_(film),158364,108.3942505,Natalee Holloway ,12.524,-70.027,Oranjestad,Natalee Holloway is a 2009 American television film directed by Mikael Salomon based on Beth Holloway's book about the 2005 disappearance of her daughter Natalee Holloway. The film stars Amy Gumenick as...
Australia,Australia,Finding_Dory,9584674,6560.3518138,Finding Dory,-33.868,151.207,Sydney,Finding Dory is a 2016 American 3D computer-animated adventure film produced by Pixar Animation Studios and released by Walt Disney Pictures. Directed by Andrew Stanton with co-direction by Angus MacLane...
Australia,Australia,Inception,8806140,6027.4743326,Inception,-37.814,144.963,Melbourne,"Inception is a 2010 science fiction action film written, co-produced, and directed by Christopher Nolan, and co-produced by Emma Thomas. The film stars Leonardo DiCaprio as a professional thief who steals..."
Australia,Australia,Lion_(2016_film),8565032,5862.4449008,Lion (2016 film),-27.468,153.028,Brisbane,"Lion is a 2016 biographical drama film directed by Garth Davis (in his feature debut) and written by Luke Davies, based on the non-fiction book A Long Way Home by Saroo Brierley. The film stars Dev Patel..."
