country,title
Italy,"Pergolesi_(film)"
Italy,"Piccolo_mondo_antico"
Italy,"Pietro_Micca_(film)"
Italy,"The_Pirate's_Dream"
Italy,"The_Pirates_of_Capri"
Italy,"Pirates_of_Malaya"
Italy,"The_Pirates_of_the_Mississippi"
Italy,"A_Pistol_Shot"
Italy,"Poverty_and_Nobility"
Italy,"The_Prince_in_Chains"
Italy,"Princess_Tarakanova_(1938_film)"
Italy,"La_Princesse_de_Clèves_(film)"
Italy,"Prisoner_in_the_Tower_of_Fire"
Italy,"The_Profession_of_Arms_(2001_film)"
Italy,"Puccini_(film)"
Italy,"A_Queen_for_Caesar"
Italy,"The_Queen_of_Navarre"
Italy,"Queen_of_the_Seas"
Italy,"Quo_Vadis_(1924_film)"
Italy,"Rage_of_the_Buccaneers"
Italy,"Rasputin_(1954_film)"
Italy,"Romulus_and_the_Sabines"
Italy,"The_Red_Cloak"
Italy,"Red_Passport"
Italy,"Red_Shirts_(film)"
Italy,"Resurrection_(1944_film)"
Italy,"Resurrection_(1958_film)"
Italy,"Revak_the_Rebel"
Italy,"The_Revenge_of_Baccarat"
Italy,"Revenge_of_Black_Eagle"
Italy,"Revolt_of_the_Mercenaries"
Italy,"Rita_of_Cascia_(film)"
Italy,"The_Rival_of_the_Empress"
Italy,"Rocambole_(1948_film)"
Italy,"The_Rogues_(film)"
Italy,"Roland_the_Mighty"
Italy,"Rome_1585"
Italy,"Romulus_&_Remus:_The_First_King"
Italy,"The_Red_and_the_Black_(1954_film)"
Italy,"Royal_Affairs_in_Versailles"
Italy,"The_Sack_of_Rome_(film)"
Italy,"Sad_Loves"
Italy,"Saint_John,_the_Beheaded"
Italy,"Sandokan_the_Great_(film)"
Italy,"Scipio_Africanus:_The_Defeat_of_Hannibal"
Italy,"Seconda_B"
Italy,"La_seconda_ombra"
Italy,"The_Secret_Nights_of_Lucrezia_Borgia"
Italy,"Senso_(film)"
Italy,"Without_a_Flag"
Italy,"Seven_Seas_to_Calais"
Italy,"Shadow_of_the_Eagle_(1950_film)"
Italy,"Sicilian_Uprising"
Italy,"Simón_Bolívar_(1969_film)"
Italy,"The_Slave_(1962_film)"
Italy,"The_Son_of_Captain_Blood"
Italy,"Son_of_d'Artagnan"
Italy,"Son_of_the_Hunchback"
Italy,"Lo_squadrone_bianco"
Italy,"A_Sword_for_Brando"
Italy,"Sword_of_the_Conqueror"
Italy,"Swordsman_of_Siena"
Italy,"Symphony_of_Love"
Italy,"The_Tartars"
Italy,"Tempest_(1958_film)"
Italy,"That_Night_in_Varennes"
Italy,"Theodora_(1914_film)"
Italy,"The_Thief_of_Venice"
Italy,"The_Three_Musketeers_(1953_film)"
Italy,"Tosca_(1941_film)"
Italy,"Tragic_Spell"
Italy,"Trap_for_the_Assassin"
Italy,"The_Two_Misanthropists"
Italy,"The_Two_Orphans_(1965_film)"
Italy,"The_Two_Orphans_(1947_film)"
Italy,"The_Two_Orphans_(1942_film)"
Italy,"The_Two_Orphans_(1954_film)"
Italy,"The_Two_Orphans_(1976_film)"
Italy,"The_Two_Sergeants_(1913_film)"
Italy,"The_Two_Sergeants_(1922_film)"
Italy,"The_Two_Sergeants_(1936_film)"
Italy,"The_Tyrant_of_Padua"
Italy,"Vanina_Vanini_(film)"
Italy,"Vanity_(1947_film)"
Italy,"Verdi,_the_King_of_Melody"
Italy,"I_Viceré_(film)"
Italy,"Le_Vicomte_de_Bragelonne_(film)"
Italy,"Villafranca_(film)"
Italy,"The_Violent_Patriot"
Italy,"The_Violet_Seller"
Italy,"La_Wally_(film)"
Italy,"The_Warrior_Empress"
Italy,"The_Ways_of_Sin"
Italy,"The_White_Warrior"
Italy,"Wife_for_a_Night"
Italy,"William_Tell_(1949_film)"
Italy,"The_Young_Caruso"
Italy,"Zorro_in_the_Court_of_England"
Japan,"Kamen_Rider_OOO_Wonderful:_The_Shogun_and_the_21_Core_Medals"
Japan,"King_Kong_Appears_in_Edo"
Japan,"Yagyu_Secret_Scrolls"
Japan,"Batman_Ninja"
Japan,"Genji_Monogatari:_Sennen_no_Nazo"
Japan,"Honnōji_Hotel"
Japan,"Inuyasha_the_Movie:_Affections_Touching_Across_Time"
Japan,"Inuyasha_the_Movie:_Fire_on_the_Mystic_Island"
Japan,"Inuyasha_the_Movie:_Swords_of_an_Honorable_Ruler"
Japan,"Inuyasha_the_Movie:_The_Castle_Beyond_the_Looking_Glass"
Japan,"Kaidan_(2007_film)"
Japan,"Kamen_Rider_Hibiki_&_The_Seven_Senki"
Japan,"Kubo_and_the_Two_Strings"
Japan,"Mai_Mai_Miracle"
Japan,"Ninja_Scroll"
Japan,"Princess_Mononoke"
Japan,"Sennen_no_Koi_Story_of_Genji"
Japan,"Seven_Samurai"
Japan,"List_of_accolades_received_by_Silence_(2016_film)"
Japan,"Silence_(1971_film)"
Japan,"Silence_(2016_film)"
Japan,"The_Tale_of_Genji_(1951_film)"
Japan,"The_Tale_of_the_Princess_Kaguya"
Japan,"Teenage_Mutant_Ninja_Turtles_III"
Japan,"Vendetta_for_a_Samurai"
Japan,"Zen_(2009_film)"
Japan,"The_7th_Secret_Courier_for_Edo"
Japan,"13_Assassins_(1963_film)"
Japan,"47_Ronin_(1994_film)"
Japan,"The_47_Ronin_(1941_film)"
Japan,"The_Abe_Clan_(1938_film)"
Japan,"The_Abe_Clan_(1995_film)"
Japan,"Adauchi_sōzenji_baba"
Japan,"After_the_Rain_(film)"
Japan,"Akō_gishi"
Japan,"Akō_Rōshi_(1961_film)"
Japan,"Akō_Rōshi:_Ten_no_Maki,_Chi_no_Maki"
Japan,"Akuto"
Japan,"Aragami_(film)"
Japan,"Ashurajō_no_Hitomi"
Japan,"Assassination_(1964_film)"
Japan,"Azumi_(film)"
Japan,"The_Ballad_of_Narayama_(1958_film)"
Japan,"Bandits_vs._Samurai_Squadron"
Japan,"Blade_of_the_Immortal_(film)"
Japan,"Bloody_Spear_at_Mount_Fuji"
Japan,"Brave_Records_of_the_Sanada_Clan"
Japan,"Bushido,_Samurai_Saga"
Japan,"Chūshingura_1/47"
Japan,"Chūshingura:_Hana_no_Maki,_Yuki_no_Maki"
Japan,"Crimson_Bat"
Japan,"The_Crucified_Lovers"
Japan,"A_Diary_of_Chuji's_Travels"
Japan,"East_Meets_West_(1995_film)"
Japan,"Eijanaika_(film)"
Japan,"Eleven_Samurai"
Japan,"The_Fall_of_Ako_Castle"
Japan,"Fukurō_no_Shiro"
Japan,"Gate_of_Hell_(film)"
Japan,"Gintama_(film)"
Japan,"Gohatto"
Japan,"Gojoe"
Japan,"Gonza_the_Spearman"
Japan,"Goyokin"
Japan,"Haguregumo"
Japan,"Hana_(film)"
Japan,"Hanzo_the_Razor"
Japan,"Hara-Kiri:_Death_of_a_Samurai"
Japan,"Harakiri_(1962_film)"
Japan,"Heaven_and_Earth_(1990_film)"
Japan,"The_Hidden_Blade"
Japan,"The_Hidden_Fortress"
Japan,"Hiken_Yaburi"
Japan,"Hissatsu:_Sure_Death"
Japan,"Hissatsu!_Mondo_Shisu"
Japan,"Hissatsu!_Shamisenya_no_Yuji"
Japan,"Hissatsu!5_Ōgon_no_Chi"
Japan,"Hitokiri_(film)"
Japan,"Ichi_(film)"
Japan,"The_Idle_Vassal:_House_of_the_Snake_Princess"
Japan,"Kaettekita_Kogarashi_Monjirō"
Japan,"Kage_Gari"
Japan,"Kagemusha"
Japan,"Kakekomi"
Japan,"Kamen_Rider_Den-O:_I'm_Born!"
Japan,"Kaze_no_Bushi"
Japan,"Kozure_Ōkami:_Sono_Chiisaki_Te_ni"
Japan,"Kuroneko"
Japan,"Kwaidan_(film)"
Japan,"Life_of_an_Expert_Swordsman"
Japan,"The_Life_of_Oharu"
Japan,"The_Lone_Journey"
