title_clean,lat,long,country
Renegades (2017 film),44.538,18.667,Bosnia_and_Herzegovina
Killing Season ,43.343,17.808,Bosnia_and_Herzegovina
The Peacemaker (1997 film),44.817,15.871,Bosnia_and_Herzegovina
A Perfect Day (2015 film),44.057,17.451,Bosnia_and_Herzegovina
In the Land of Blood and Honey,44.87,18.81,Bosnia_and_Herzegovina
No Man's Land (2001 film),44.759,19.214,Bosnia_and_Herzegovina
The Hunting Party (2007 film),44.98,16.714,Bosnia_and_Herzegovina
A United Kingdom,-24.655,25.909,Botswana
The Gods Must Be Crazy,-21.17,27.508,Botswana
Cry Freedom,-24.407,25.495,Botswana
The Gods Must Be Crazy II,-21.979,27.843,Botswana
Earth (2007 film),-19.983,23.417,Botswana
The Gods Must Be Crazy (film series),-22.388,26.711,Botswana
Crazy Safari,-24.967,25.333,Botswana
The Wilby Conspiracy,-23.104,26.814,Botswana
"Nǃai, the Story of a ǃKung Woman",-24.627,25.866,Botswana
The End of Eden,-24.417,26.15,Botswana
Alien vs. Predator ,-54.423199,3.413194,Bouvet_Island
Bohemian Rhapsody ,-23.547,-46.636,Brazil
Kingsman: The Secret Service,-22.906,-43.182,Brazil
The Incredible Hulk ,-12.971,-38.511,Brazil
XXX: Return of Xander Cage,-3.717,-38.543,Brazil
The Lost City of Z ,-19.921,-43.938,Brazil
Geostorm,-15.78,-47.93,Brazil
2012,-25.428,-49.273,Brazil
Fast Five,-3.102,-60.025,Brazil
Teenage Mutant Ninja Turtles: Out of the Shadows,-8.054,-34.881,Brazil
Mechanic: Resurrection,-1.456,-48.504,Brazil
Ada Apa Dengan Rina,4.535277,114.727669,Brunei
Spy (2015 film),42.698,23.324,Bulgaria
Shivaay,42.15,24.75,Bulgaria
Mechanic: Resurrection,43.217,27.917,Bulgaria
Bram Stoker's Dracula,42.506,27.468,Bulgaria
Pawn Sacrifice,43.849,25.953,Bulgaria
I Spit on Your Grave 2,42.433,25.642,Bulgaria
Getaway ,43.417,24.617,Bulgaria
Acts of Vengeance ,42.686,26.329,Bulgaria
I Am David ,43.567,27.833,Bulgaria
The Contractor (2007 film),43.271,26.923,Bulgaria
Yaaba,12.366,-1.534,Burkina_Faso
Femmes aux yeux ouverts,11.177,-4.298,Burkina_Faso
The African Queen ,-3.382,29.361,Burundi
Primeval ,-2.845,30.341,Burundi
Africa United (2010 film),-3.427,29.925,Burundi
Kingsman: The Golden Circle,11.562,104.916,Cambodia
Apocalypse Now,10.991,104.785,Cambodia
No Escape (2015 film),10.609,103.53,Cambodia
Transformers: Dark of the Moon,13.103,103.198,Cambodia
Alien vs. Predator ,13.362,103.861,Cambodia
Lara Croft: Tomb Raider,13.658,102.564,Cambodia
The Killing Fields ,12.25,104.667,Cambodia
Apocalypse Now Redux,11.993,105.464,Cambodia
Skin Trade ,12.539,103.919,Cambodia
TPB AFK,11.483,104.95,Cambodia
Chocolat (1988 film),4.048,9.704,Cameroon
Black and White in Color,3.867,11.517,Cameroon
Super Comet: After the Impact,9.301,13.398,Cameroon
Sleeping Sickness ,12.077,15.031,Cameroon
Three Men on Fire,5.96,10.146,Cameroon
Ribo ou le soleil sauvage,10.591,14.316,Cameroon
The Cassava Metaphor,5.478,10.418,Cameroon
Our House in Cameroon,10.742,13.802,Cameroon
The Revenant (2015 film),43.7,-79.416,Canada
Titanic (1997 film),45.509,-73.588,Canada
