country,title,clean_title,extract
Australia,"The_Light_Between_Oceans_(film)","The Light Between Oceans (film)","The Light Between Oceans is a 2016 romantic drama written and directed by Derek Cianfrance and based on the 2012 novel The Light Between Oceans by M. L. Stedman. An international co-production between..."
Australia,"Point_Break","Point Break","Point Break is a 1991 American action film directed by Kathryn Bigelow and written by W. Peter Iliff. It stars Patrick Swayze, Keanu Reeves, Lori Petty and Gary Busey, and the film's title refers to the..."
Austria,"Captain_America:_Civil_War","Captain America: Civil War","Captain America: Civil War is a 2016 American superhero film based on the Marvel Comics character Captain America, produced by Marvel Studios and distributed by Walt Disney Studios Motion Pictures. It..."
Austria,"Black_Panther_(film)","Black Panther (film)","Black Panther is a 2018 American superhero film based on the Marvel Comics character of the same name. Produced by Marvel Studios and distributed by Walt Disney Studios Motion Pictures, it is the eighteenth..."
Austria,"Spectre_(2015_film)","Spectre (2015 film)","Spectre is a 2015 British spy film, the twenty-fourth in the James Bond film series produced by Eon Productions for Metro-Goldwyn-Mayer and Columbia Pictures. It is the fourth film to feature Daniel Craig..."
Austria,"Mission:_Impossible_–_Rogue_Nation","Mission: Impossible – Rogue Nation","Mission: Impossible – Rogue Nation is a 2015 American action spy film written and directed by Christopher McQuarrie, from a story by McQuarrie and Drew Pearce and the fifth installment in the Mission:..."
Austria,"Fantastic_Beasts:_The_Crimes_of_Grindelwald","Fantastic Beasts: The Crimes of Grindelwald","Fantastic Beasts: The Crimes of Grindelwald is a 2018 fantasy film directed by David Yates and written by J. K. Rowling. A joint British and American production, it is the sequel to Fantastic Beasts and..."
Austria,"Captain_America:_The_First_Avenger","Captain America: The First Avenger","Captain America: The First Avenger is a 2011 American superhero film based on the Marvel Comics character Captain America. Produced by Marvel Studios and distributed by Paramount Pictures, it is the fifth..."
Austria,"The_Sound_of_Music_(film)","The Sound of Music (film)","The Sound of Music is a 1965 American musical drama film produced and directed by Robert Wise, and starring Julie Andrews and Christopher Plummer, with Richard Haydn and Eleanor Parker. The film is an..."
Austria,"Quantum_of_Solace","Quantum of Solace","Quantum of Solace is a 2008 British spy film, the twenty-second in the James Bond series produced by Eon Productions, directed by Marc Forster and written by Paul Haggis, Neal Purvis and Robert Wade...."
Austria,"Hitman:_Agent_47","Hitman: Agent 47","Hitman: Agent 47 is a 2015 American action thriller film directed by Aleksander Bach in his directorial debut and co-written by Skip Woods (who also wrote the original Hitman film) and Michael Finch. It..."
Austria,"Indiana_Jones_and_the_Last_Crusade","Indiana Jones and the Last Crusade","Indiana Jones and the Last Crusade is a 1989 American action-adventure film directed by Steven Spielberg, from a story co-written by executive producer George Lucas. It is the third installment in the..."
Azerbaijan,"Furious_7","Furious 7","Fast & Furious 7 (alternatively known as Furious 7 or Fast Seven) is a 2015 American action film directed by James Wan and written by Chris Morgan and Reilly Sutherland. It is the seventh installment in..."
Azerbaijan,"The_World_Is_Not_Enough","The World Is Not Enough","The World Is Not Enough is a 1999 spy film, the 19th in the James Bond series produced by Eon Productions, and the third to star Pierce Brosnan as the fictional MI6 agent James Bond. The film was directed..."
Azerbaijan,"Air_Force_One_(film)","Air Force One (film)","Air Force One is a 1997 American political action-thriller film written by Andrew W. Marlowe, and directed and co-produced by Wolfgang Petersen. It is about a group of terrorists who hijack Air Force One..."
Azerbaijan,"The_Darkest_Hour_(film)","The Darkest Hour (film)","The Darkest Hour is a 2011 science fiction thriller film directed by Chris Gorak and produced by Timur Bekmambetov. It depicts an alien invasion. The film stars Emile Hirsch, Max Minghella, Olivia Thirlby..."
Azerbaijan,"United_Passions","United Passions","United Passions (French: United Passions: La Légende du football) is a 2014 English-language French drama film about the origins of the world governing body of association football, Fédération Internationale..."
Azerbaijan,"Ali_and_Nino_(film)","Ali and Nino (film)","Ali and Nino (Əli və Nino) is a 2016 British drama romance war film based on Kurban Said's novel of the same name. The film is written by Christopher Hampton and directed by Asif Kapadia. Most of the film..."
Azerbaijan,"Closed_Curtain","Closed Curtain","Closed Curtain (Persian: Pardeh – پرده‎) is a 2013 Iranian docufiction film by Jafar Panahi and Kambuzia Partovi. It premiered at the 63rd Berlin International Film Festival on February 12, 2013 where..."
Azerbaijan,"By_the_Bluest_of_Seas","By the Bluest of Seas","By the Bluest of Seas (Russian: У самого синего моря, romanized: U samogo sinego morya) is a 1936 Soviet romantic comedy film by Russian director Boris Barnet. It is his second sound feature. Starring..."
Azerbaijan,"The_Spring_to_Come","The Spring to Come","The Polish novel Przedwiośnie (a title translated alternatively as First Spring, Before the Spring, Early Spring, Springtime, or Spring To Come) was written by the leading Polish neoromantic writer Stefan..."
Azerbaijan,"New_Moon_(1930_film)","New Moon (1930 film)","New Moon is the name of two different film versions of the operetta The New Moon with music by Sigmund Romberg and book and lyrics by Oscar Hammerstein II and others. The original stage version premiered..."
Bahamas,"Casino_Royale_(2006_film)","Casino Royale (2006 film)","Casino Royale is a 2006 spy film, the twenty-first in the Eon Productions James Bond film series, and the third screen adaptation of Ian Fleming's 1953 novel of the same name. Directed by Martin Campbell..."
Bahamas,"Pain_&_Gain","Pain & Gain","Pain & Gain is a 2013 American dark comedy crime film directed by Michael Bay and starring Mark Wahlberg, Dwayne Johnson, and Anthony Mackie. The film is loosely based on a story Pete Collins published..."
Bahamas,"Never_Say_Never_Again","Never Say Never Again","Never Say Never Again is a 1983 American spy film starring Sean Connery and directed by Irvin Kershner. The film is based on the James Bond novel Thunderball, which was previously adapted in a 1965 film..."
Bahamas,"The_Other_Woman_(2014_film)","The Other Woman (2014 film)","The Other Woman is a 2014 American comedy film directed by Nick Cassavetes and written by Melissa Stack. The film stars Cameron Diaz, Leslie Mann and Kate Upton. Nikolaj Coster-Waldau, Nicki Minaj and..."
Bahamas,"Thunderball_(film)","Thunderball (film)","Thunderball is a 1965 British spy film and the fourth in the James Bond series produced by Eon Productions, starring Sean Connery as the fictional MI6 agent James Bond. It is an adaptation of the novel..."
Bahamas,"Jaws:_The_Revenge","Jaws: The Revenge","Jaws: The Revenge (also known as Jaws 4: The Revenge or Jaws 4) is a 1987 American horror thriller film produced and directed by Joseph Sargent, and starring Lorraine Gary, Lance Guest, Mario Van Peebles..."
